OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AZ,USGS Arizona Water Science Center,USGS-324329114430001,Colorado River at 500 m below MODE II Outfall,Stream,,15030107,,,,,32.72485833000000,-114.7167972000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,106.,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,025,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324420114590601,016S019E23N001S,Well,,18100204,,,,,32.73815054000000,-114.9813294000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,153.6,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,19670508,483,ft,492,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324421114482101,016S021E30E001S,Well,,18100204,,,,,32.73926110000000,-114.8067010000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,227.6,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,19981020,219,ft,219,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324426114530901,016S020E49R001S,Well,,18100204,,,,,32.74070297000000,-114.8867524000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,176.76,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,19930114,405,ft,413,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324450114515001,016S020E51F002S,Well,,18100204,,,,,32.74726936000000,-114.8638790000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,170.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,025,,,,20170510,513,ft,520,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324450114515101,016S020E51F001S,Well,,18100204,,,,,32.74732214000000,-114.8640457000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,168.4,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,20121010,620,ft,620,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324503114515501,016S020E21Q003S,Well,,18100204,,,,,32.75100537000000,-114.8661430000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,189.3,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,20050208,86.5,ft,86.5,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324525114500701,016S020E23G001S,Well,,18100204,,,,,32.75692180000000,-114.8359526000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,214.6,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,19981015,149,ft,200,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324544114472901,016S021E18R001S,Well,,18100204,,,,,32.76215767000000,-114.7920560000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,272.3,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,19791207,490,ft,514,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-324656114451501,016S021E09H001S,Well,,18100204,,,,,32.78218207000000,-114.7548322000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,362.1,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,19980720,547,ft,547,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-325107114534701,015S020E19A002S,Well,,18100204,,,,,32.85185310000000,-114.8970256000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,365.2,feet,0.1,feet,Differentially corrected Global Positioning System.,NGVD29,US,06,025,Basin and Range basin-fill aquifers,,,19770919,300,ft,300,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-10256000,WHITEWATER R A WHITE WATER CA,Stream,,18100201,57.5,sq mi,,,33.94668060000000,-116.6408473000000,24000,1,seconds,Interpolated from MAP.,NAD83,1610,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,065,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10256500,SNOW C NR WHITE WATER CA,Stream,,18100201,10.9,sq mi,,,33.87057220000000,-116.6811270000000,,5,seconds,Interpolated from MAP.,NAD83,2000,feet,40,feet,Interpolated from topographic map.,NGVD29,US,06,065,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10257710,CHINO CYN C NR PALM SPRINGS CA,Stream,,18100201,3.84,sq mi,,,33.83918450000000,-116.6133486000000,24000,5,seconds,Interpolated from MAP.,NAD83,2260,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,065,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10257720,CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA,Stream,,18100201,4.71,sq mi,,,33.84418430000000,-116.6052929000000,24000,5,seconds,Interpolated from MAP.,NAD83,2100,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,065,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10260500,DEEP C NR HESPERIA CA,Stream,,18090208,134,sq mi,,,34.34305858000000,-117.2264316000000,24000,5,seconds,Interpolated from MAP.,NAD83,3030.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,071,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,Stream,,18090208,70.3,sq mi,,,34.33889196000000,-117.2578213000000,24000,1,seconds,Interpolated from MAP.,NAD83,3050,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,071,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,Stream,,18090208,513,sq mi,,,34.57304916000000,-117.3206018000000,,5,seconds,Interpolated from MAP.,NAD83,2643.01,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,071,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10265125,MAMMOTH C A TWIN LAKES NR MAMMOTH LAKES CA,Stream,,18090102,10.6,sq mi,,,37.62382500000000,-119.0056889000000,24000,1,seconds,Interpolated from MAP.,NAD83,8582,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,051,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10265128,MAMMOTH C A OLD MAMMOTH RD A MAMMOTH LAKES CA,Stream,,18090102,13.4,sq mi,,,37.63521300000000,-118.9656890000000,24000,1,seconds,Interpolated from MAP.,NAD83,7852,feet,16,feet,Interpolated from topographic map.,NGVD29,US,06,051,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10265130,MAMMOTH C A HWY 395 NR  MAMMOTH LAKES CA,Stream,,18090102,33.8,sq mi,,,37.63771209000000,-118.9037433000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,051,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10265143,HOT C AB HOT C FISH HATCHERY NR MAMMOTH LAKES CA,Stream,,18090102,48.2,sq mi,,,37.64354464000000,-118.8540202000000,24000,5,seconds,Interpolated from MAP.,NAD83,7052.,feet,10.,feet,Interpolated from topographic map.,NGVD29,US,06,051,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10265147,HOT C AB GORGE GEYSER NR MAMMOTH LAKES CA,Stream,,18090102,67.4,sq mi,,,37.65743307000000,-118.8326313000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,051,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10265150,HOT C A FLUME NR MAMMOTH LAKES CA,Stream,,18090102,68.3,sq mi,,,37.66882166000000,-118.8176312000000,24000,5,seconds,Interpolated from MAP.,NAD83,6950.00,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,051,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10336645,GENERAL C NR MEEKS BAY CA,Stream,,16050101,7.44,sq mi,,,39.05185197000000,-120.1185209000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,017,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10336660,BLACKWOOD C NR TAHOE CITY CA,Stream,,16050101,11.2,sq mi,,,39.10740708000000,-120.1621352000000,,5,seconds,Interpolated from MAP.,NAD83,6234.59,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,061,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10336676,WARD C AT HWY 89 NR TAHOE PINES CA,Stream,,16050101,9.70,sq mi,,,39.13212920000000,-120.1576913000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,061,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10336790,TROUT C A SOUTH LAKE TAHOE CA,Stream,,16050101,40.4,sq mi,,,38.93213000000000,-119.9787926000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,017,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-10343500,SAGEHEN C NR TRUCKEE CA,Stream,,16050102,10.5,sq mi,,,39.43157246000000,-120.2379793000000,,5,seconds,Interpolated from MAP.,NAD83,6320.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,057,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11044000,SANTA MARGARITA R NR TEMECULA CA,Stream,,18070302,588,sq mi,,,33.47391750000000,-117.1422536000000,,5,seconds,Interpolated from MAP.,NAD83,950.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,065,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11066460,SANTA ANA R A MWD CROSSING CA,Stream,,18070203,852,sq mi,,,33.96862566000000,-117.4483806000000,24000,5,seconds,Interpolated from MAP.,NAD83,685,feet,10,feet,Altimeter.,NGVD29,US,06,065,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11074000,SANTA ANA R BL PRADO DAM CA,Stream,,18070203,2258,sq mi,1490,sq mi,33.88334875000000,-117.6453296000000,24000,5,seconds,Interpolated from MAP.,NAD83,449,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,065,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11123500,SANTA YNEZ R BL LOS LAURLS CYN NR SNTA YNEZ CA,Stream,,18060010,277,sq mi,,,34.54360358000000,-119.8648627000000,,5,seconds,Interpolated from MAP.,NAD83,787.8,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11124500,SANTA CRUZ C NR SANTA YNEZ CA,Stream,,18060010,74.0,sq mi,,,34.59665630000000,-119.9087519000000,,5,seconds,Interpolated from MAP.,NAD83,783.38,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11126000,SANTA YNEZ R NR SANTA YNEZ CA,Stream,,18060010,422,sq mi,,,34.58915520000000,-119.9887532000000,24000,5,seconds,Interpolated from MAP.,NAD83,545.66,feet,.05,feet,Level or other surveyed method.,NGVD29,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11126400,SANTA YNEZ R A HWY 154 NR SANTA YNEZ CA,Stream,,18060010,430,sq mi,,,34.58915474000000,-120.0301435000000,24000,1,seconds,Interpolated from MAP.,NAD83,520,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11128500,SANTA YNEZ R A SOLVANG CA,Stream,,18060010,579,sq mi,,,34.58498706000000,-120.1445926000000,,5,seconds,Interpolated from MAP.,NAD83,350.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11132500,SALSIPUEDES C NR LOMPOC CA,Stream,,18060010,47.1,sq mi,,,34.58859570000000,-120.4084938000000,,5,seconds,Interpolated from MAP.,NAD83,220.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11133000,SANTA YNEZ R A NARROWS NR LOMPOC CA,Stream,,18060010,789,sq mi,,,34.63609474000000,-120.4246060000000,,5,seconds,Interpolated from MAP.,NAD83,85,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11135250,SANTA YNEZ R A 13TH ST BRIDGE A VAFB NR LOMPOC CA,Stream,,18060010,881,sq mi,,,34.67661667000000,-120.5533889000000,24000,1,seconds,Interpolated from MAP.,NAD83,22,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11135800,SAN ANTONIO C A LOS ALAMOS CA,Stream,,18060009,34.9,sq mi,,,34.74331534000000,-120.2709888000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11136040,HARRIS CANYON C NR ORCUTT CA,Stream,,18060009,17.3,sq mi,,,34.77777778000000,-120.4316667000000,24000,1,seconds,Interpolated from MAP.,NAD83,333,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11136100,SAN ANTONIO C NR CASMALIA CA,Stream,,18060009,135,sq mi,,,34.78220307000000,-120.5301670000000,24000,1,seconds,Interpolated from MAP.,NAD83,123.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11136800,CUYAMA R BL BUCKHORN CYN NR SANTA MARIA CA,Stream,,18060007,886,sq mi,,,35.02192130000000,-120.2284868000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,079,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11138500,SISQUOC R NR SISQUOC CA,Stream,,18060008,281,sq mi,,,34.83970289000000,-120.1682063000000,,5,seconds,Interpolated from MAP.,NAD83,624.30,feet,.01,feet,Interpolated from topographic map.,NGVD29,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11141050,ORCUTT C NR ORCUTT CA,Stream,,18060008,18.5,sq mi,,,34.88359037000000,-120.4948883000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,083,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11141280,LOPEZ C NR ARROYO GRANDE CA,Stream,,18060006,20.9,sq mi,,,35.23553035000000,-120.4723857000000,,5,seconds,Interpolated from MAP.,NAD83,580,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,079,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11148900,NACIMIENTO R BL SAPAQUE C NR BRYSON CA,Stream,,18060005,162,sq mi,,,35.78857918000000,-121.0938048000000,24000,5,seconds,Interpolated from MAP.,NAD83,800,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,079,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11150500,SALINAS R NR BRADLEY CA,Stream,,18060005,2535,sq mi,,,35.93024340000000,-120.8687915000000,,1,seconds,Interpolated from MAP.,NAD83,442.69,feet,10,feet,Level or other surveyed method.,NGVD29,US,06,053,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11152000,ARROYO SECO NR SOLEDAD CA,Stream,,18060005,244,sq mi,,,36.28052076000000,-121.3227063000000,,5,seconds,Interpolated from MAP.,NAD83,339.20,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,053,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11152600,GABILAN C NR SALINAS CA,Stream,,18060015,36.7,sq mi,,,36.75579196000000,-121.6105005000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,053,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11152650,RECLAMATION DITCH NR SALINAS CA,Stream: Ditch,,18060015,53.2,sq mi,,,36.70495860000000,-121.7049475000000,24000,5,seconds,Interpolated from MAP.,NAD83,16,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,053,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153470,LLAGAS C AB CHESBRO RES NR MORGAN HILL CA,Stream,,18060002,9.63,sq mi,,,37.14833330000000,-121.7683333000000,24000,1,seconds,Interpolated from MAP.,NAD83,668,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,085,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11153650,LLAGAS C NR GILROY,Stream,,18060002,84.2,sq mi,,,36.98744858000000,-121.5271622000000,24000,1,seconds,Interpolated from MAP.,NAD83,160,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11159000,PAJARO R A CHITTENDEN CA,Stream,,18060002,1186,sq mi,,,36.90023070000000,-121.5977215000000,,5,seconds,Interpolated from MAP.,NAD83,81.89,feet,10,feet,Level or other surveyed method.,NGVD29,US,06,087,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11159200,CORRALITOS C A FREEDOM CA,Stream,,18060002,27.8,sq mi,,,36.93939680000000,-121.7705065000000,,5,seconds,Interpolated from MAP.,NAD83,89.43,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,06,087,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11159500,PAJARO R A WATSONVILLE CA,Stream,,18060002,1272,sq mi,,,36.90561110000000,-121.7518889000000,24000,1,seconds,Interpolated from MAP.,NAD83,24,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,087,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11164500,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA,Stream,,18050003,37.4,sq mi,,,37.42327257000000,-122.1894095000000,,5,seconds,Interpolated from MAP.,NAD83,115.75,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11169025,GUADALUPE R ABV HWY 101 A SAN JOSE CA,Stream,,18050003,160,sq mi,,,37.37382960000000,-121.9330129000000,24000,1,seconds,Interpolated from MAP.,NAD83,17.57,feet,.01,feet,Level or other surveyed method.,NAVD88,US,06,085,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11169800,COYOTE C NR GILROY CA,Stream,,18050003,109,sq mi,,,37.07772286000000,-121.4943832000000,24000,5,seconds,Interpolated from MAP.,NAD83,790,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,085,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11176900,ARROYO DE LA LAGUNA A VERONA CA,Stream,,18050004,403,sq mi,,,37.62659915000000,-121.8830126000000,24000,1,seconds,Interpolated from MAP.,NAD83,280,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,001,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11179100,ALAMEDA C NR FREMONT CA,Stream,,18050004,638,sq mi,,,37.56660245000000,-122.0016278000000,24000,1,seconds,Interpolated from MAP.,NAD83,48,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,001,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11180900,CROW C NR HAYWARD CA,Stream,,18050004,10.5,sq mi,,,37.70493008000000,-122.0438508000000,24000,1,seconds,Interpolated from MAP.,NAD83,270,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,001,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11181000,SAN LORENZO C A HAYWARD CA,Stream,,18050004,37.5,sq mi,,,37.68548644000000,-122.0644070000000,24000,1,seconds,Interpolated from MAP.,NAD83,133.16,feet,.05,feet,Level or other surveyed method.,NGVD29,US,06,001,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11181008,CASTRO VALLEY C A HAYWARD CA,Stream,,18050004,5.51,sq mi,,,37.67993110000000,-122.0805186000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,06,001,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-11182400,ARROYO DEL HAMBRE A MARTINEZ CA,Stream,,18050001,15.1,sq mi,,,38.00325510000000,-122.1299650000000,24000,5,seconds,Interpolated from MAP.,NAD83,48.33,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,013,,,,,,,,,NWIS
